Metric,Mean,Std,Min,Max,Median
BLEU,7.87,9.1,0.36,49.71,3.59
ROUGE-1,33.4,13.22,2.56,75.86,31.58
ROUGE-2,12.61,10.62,0.0,56.94,9.85
ROUGE-L,32.64,13.35,2.13,76.71,31.26
METEOR,28.01,14.22,1.0,76.64,25.99
CER,37.36,9.85,6.75,77.39,37.56
WER,72.55,15.4,25.64,159.52,73.48
