Metric,Mean,Std,Min,Max,Median
BLEU,7.0,7.0,0.42,40.66,4.08
ROUGE-1,32.96,9.62,5.26,61.9,32.61
ROUGE-2,12.01,7.81,0.0,43.48,10.81
ROUGE-L,32.76,9.9,2.15,63.92,32.16
METEOR,27.86,10.87,2.0,65.85,26.81
CER,39.32,8.62,19.56,76.11,38.83
WER,72.31,11.73,40.0,122.41,72.04
