ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,1.41,29.27,3.96,25.24,17.46,55.51,78.85
25770,1.85,32.56,8.42,28.87,25.04,47.25,77.08
18164,1.67,18.49,2.41,22.62,14.66,48.96,84.34
20604,8.47,36.36,11.35,36.36,32.57,30.23,70.0
11567,3.34,31.46,9.38,36.92,32.02,44.72,68.18
13645,1.68,24.24,7.55,25.93,22.3,42.86,77.78
11657,1.48,26.26,5.04,26.45,20.94,47.33,86.21
6956,0.59,10.67,0.0,9.41,4.58,52.27,90.91
20093,1.06,19.31,4.79,18.93,15.26,43.43,82.76
19063,1.64,28.0,8.93,28.07,22.87,44.48,74.58
14259,3.5,30.0,10.99,27.96,26.8,40.85,77.78
15726,10.62,33.1,13.04,32.26,27.38,40.3,74.19
16225,1.48,27.96,6.06,27.72,23.0,46.48,93.33
15181,4.28,36.04,11.76,42.03,34.05,41.83,62.32
13389,3.54,32.88,10.13,32.1,28.74,48.83,88.89
6292,1.89,30.23,8.89,32.61,25.14,47.41,75.0
14261,2.32,23.64,4.41,21.74,18.51,34.69,85.29
12813,3.76,25.0,6.06,25.74,23.3,55.4,79.59
21399,1.43,21.18,4.4,19.35,14.93,55.04,84.78
21314,2.45,22.86,7.58,25.37,18.8,46.78,77.46
18702,0.52,15.52,0.0,15.0,7.6,45.37,91.53
22448,3.23,31.71,6.82,28.89,22.31,37.71,73.33
19701,6.2,24.1,8.08,23.76,19.77,37.68,80.77
4918,2.19,27.54,5.06,26.25,20.44,47.86,76.54
23775,3.08,25.64,5.0,26.83,19.48,50.96,75.61
2700,3.42,29.17,7.41,27.27,22.22,50.33,77.78
11581,1.89,21.74,3.39,16.67,11.77,50.94,84.38
11618,1.25,21.33,2.38,16.28,12.61,62.28,88.1
15065,1.64,22.22,4.6,29.21,20.18,39.53,75.56
19824,1.87,33.71,10.1,31.68,25.92,51.22,75.0
5795,3.57,29.41,9.64,28.24,23.83,45.64,72.09
5369,9.41,40.0,15.22,40.43,36.58,34.57,66.67
22432,3.55,34.86,9.09,38.81,28.93,37.76,66.67
20861,0.53,7.69,0.0,6.67,3.39,57.94,100.0
13724,2.07,37.21,10.87,34.04,29.31,40.0,66.67
10720,1.63,34.34,5.71,33.64,23.73,41.44,68.52
20293,3.27,31.33,9.9,31.07,25.1,48.47,74.0
5210,1.07,24.39,1.92,16.98,12.17,47.95,92.31
12621,0.68,23.53,0.0,23.4,11.32,51.45,81.63
15064,2.18,29.53,6.94,25.14,19.61,34.77,80.23
11882,1.14,21.28,2.04,20.0,12.92,58.33,87.76
24172,7.6,28.21,11.01,37.84,32.0,36.12,62.5
4827,1.16,16.67,3.57,17.54,13.43,44.48,90.91
18246,0.71,16.54,1.19,14.12,9.19,42.63,90.7
14049,1.28,21.05,3.85,18.87,15.54,42.24,90.2
13814,1.22,16.67,2.33,18.18,11.88,50.78,86.67
11010,9.2,37.97,13.48,37.36,31.47,35.83,68.09
7390,24.31,37.21,26.37,36.56,37.05,31.19,71.11
6846,6.78,34.33,11.49,35.23,30.02,38.54,70.11
17771,12.27,30.61,18.69,36.7,35.18,47.27,69.81
7001,0.93,7.41,2.35,6.9,5.62,57.68,93.48
23211,1.21,21.05,2.08,24.49,14.82,46.67,80.0
17534,1.69,34.21,6.45,31.58,24.53,38.59,82.22
