Metric,Mean,Std,Min,Max,Median
BLEU,7.96,8.88,0.39,46.92,3.62
ROUGE-1,33.6,13.02,5.19,72.97,31.58
ROUGE-2,12.85,10.5,0.0,56.57,10.0
ROUGE-L,32.91,13.15,2.15,73.27,31.42
METEOR,28.34,14.08,2.0,71.97,25.94
CER,36.99,9.72,10.53,76.25,37.47
WER,72.69,15.51,27.45,157.14,73.72
