ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,1.41,30.23,3.88,24.76,18.41,60.0,82.69
25770,12.14,47.62,23.66,48.42,44.61,31.19,56.25
18164,14.07,34.65,16.47,38.37,35.88,36.25,72.29
20604,12.45,46.28,23.19,47.14,43.92,24.43,55.71
11567,16.05,43.01,19.55,40.0,42.42,35.71,66.67
13645,28.04,59.18,34.62,56.6,53.66,19.39,44.44
11657,17.72,58.7,31.58,53.45,50.99,34.0,53.45
6956,3.37,34.21,6.98,31.82,24.1,35.91,75.0
20093,18.66,56.16,27.22,52.63,46.9,28.89,51.72
19063,4.1,42.31,12.07,37.29,31.38,38.8,66.1
14259,2.79,46.75,20.45,53.33,46.82,22.98,46.67
15726,5.06,46.26,19.46,43.85,40.36,34.46,68.82
16225,9.19,42.11,20.2,41.58,41.3,32.42,77.78
15181,20.78,54.05,28.36,54.41,49.53,29.23,50.72
13389,14.87,38.96,23.81,41.86,46.02,47.42,88.89
6292,13.45,42.35,18.18,44.44,39.04,34.05,63.64
14261,15.67,50.47,22.73,52.24,46.05,26.53,54.41
12813,4.31,46.91,18.37,46.0,41.48,23.74,59.18
21399,19.14,52.87,25.81,52.63,51.01,22.48,56.52
21314,19.86,45.54,25.56,50.37,44.14,29.41,54.93
18702,27.1,60.87,34.78,59.83,57.08,18.83,42.37
22448,23.31,51.22,27.27,48.89,46.59,22.46,57.78
19701,25.94,54.12,29.41,53.85,50.48,20.65,51.92
4918,3.15,42.03,15.69,42.58,34.14,31.41,59.26
23775,36.35,66.67,44.16,65.82,62.56,17.79,36.59
2700,10.5,42.55,19.23,43.4,38.89,27.3,62.96
11581,1.59,38.71,8.4,33.06,24.93,40.57,70.31
11618,1.95,42.11,9.09,35.56,28.76,32.89,78.57
15065,21.06,37.84,24.72,43.96,40.66,25.97,64.44
19824,10.34,53.49,20.62,46.46,43.3,32.4,61.54
5795,5.64,47.89,20.69,49.44,44.26,28.22,58.14
5369,11.36,46.51,22.68,46.46,46.55,30.48,71.11
22432,31.01,60.55,39.37,62.02,58.55,18.88,39.39
20861,38.91,64.94,41.86,65.91,64.11,21.03,38.64
13724,27.96,57.47,36.17,58.33,56.04,20.74,43.75
10720,21.66,53.19,34.95,53.33,50.97,27.4,48.15
20293,27.76,59.26,34.34,59.41,57.96,24.05,44.0
5210,21.45,56.1,27.18,57.14,53.68,25.0,50.0
12621,22.72,55.17,27.37,51.55,49.85,24.07,55.1
15064,41.88,72.97,52.63,71.68,71.27,10.7,31.4
11882,16.69,53.19,22.68,52.53,44.17,28.57,57.14
24172,27.64,60.98,37.7,61.29,63.95,17.06,53.57
4827,16.78,56.25,30.48,54.21,50.63,23.84,47.27
18246,20.04,50.0,26.29,49.72,47.69,33.79,58.14
14049,8.16,40.86,14.0,37.25,31.29,34.3,66.67
13814,6.95,46.91,23.81,48.84,43.7,22.87,55.56
11010,26.09,64.2,41.3,61.7,60.44,18.33,40.43
7390,34.85,59.52,41.86,56.82,54.89,19.66,46.67
6846,11.39,48.53,18.5,46.86,41.82,27.29,57.47
17771,11.78,44.68,25.24,49.52,46.08,36.36,52.83
7001,12.09,51.22,24.74,50.51,47.75,25.73,65.22
23211,18.64,58.23,33.33,57.14,54.52,25.33,48.0
17534,19.81,44.16,25.53,45.83,44.33,20.33,64.44
11748,12.89,56.93,25.43,53.71,50.75,22.74,50.0
6080,33.88,66.67,45.0,68.29,65.46,12.97,33.33
22321,21.47,62.07,34.67,59.74,56.7,10.97,41.03
12126,39.79,65.26,46.43,64.91,64.06,12.78,38.6
11055,4.59,43.48,17.31,41.51,35.61,27.76,62.5
26456,27.5,62.12,38.62,63.95,61.15,14.15,37.84
21112,16.19,48.42,22.02,43.24,40.25,31.7,64.29
8217,35.54,65.96,43.86,62.07,58.98,21.75,40.0
23497,7.03,53.16,22.5,53.66,48.12,16.18,48.78
16577,27.87,58.57,32.65,57.72,57.21,21.74,52.05
25506,30.26,70.09,39.16,64.83,61.67,10.53,36.49
5319,4.93,40.48,13.86,46.6,38.03,36.1,55.77
19098,24.45,55.32,34.69,56.0,55.19,29.2,48.98
19963,34.17,57.69,40.0,58.12,55.36,26.9,45.0
24048,10.84,54.72,22.22,52.1,46.69,20.24,51.67
17168,35.29,66.67,42.76,65.31,63.57,18.8,41.1
16942,16.75,46.98,23.17,45.78,44.8,31.7,70.67
4839,33.44,65.98,40.0,62.99,59.04,15.67,40.3
11254,46.92,71.26,56.57,73.27,71.97,16.06,27.45
7424,43.23,71.11,51.14,71.91,68.79,12.44,30.43
18838,28.01,57.85,34.57,57.32,52.78,18.64,47.19
14748,6.78,44.71,16.07,38.6,31.12,28.99,66.15
13954,3.5,30.95,12.9,31.58,29.93,41.63,84.09
3174,30.87,57.14,36.04,58.41,53.93,23.26,46.55
21972,24.55,55.12,30.57,51.57,49.24,23.28,55.13
17546,8.12,39.22,14.88,37.4,30.44,34.95,70.0
13269,13.93,46.91,18.56,50.51,44.82,26.55,56.0
11643,12.2,50.0,24.49,46.0,46.49,30.45,66.67
15636,16.3,54.84,23.26,51.72,45.89,22.35,51.69
4968,34.81,54.74,41.9,57.94,60.4,31.96,54.0
20602,3.94,48.48,15.96,42.11,43.31,39.29,78.82
6585,15.62,50.49,21.43,47.37,42.01,33.53,62.07
24028,5.78,46.75,17.5,43.9,43.93,50.0,75.68
21456,11.78,47.22,23.81,39.53,39.9,38.93,72.09
17474,3.55,41.38,10.0,39.22,34.09,31.37,70.83
14287,24.63,60.5,31.08,58.67,56.67,22.8,51.39
17420,35.1,60.22,40.86,61.05,58.33,22.18,42.86
26382,15.42,59.7,25.45,57.14,51.64,30.66,55.56
13788,7.04,55.42,25.0,53.06,48.92,22.59,51.02
12578,36.68,65.0,44.21,63.92,63.01,23.87,41.67
15948,34.61,64.43,43.93,62.86,61.47,17.39,40.91
1238,24.44,56.0,28.92,51.76,49.8,21.24,54.76
12727,3.53,43.01,10.91,35.71,35.19,29.78,95.74
21511,16.03,50.67,22.45,46.0,50.87,27.23,92.5
19839,23.5,56.25,27.59,52.54,50.95,19.19,54.39
17277,4.69,42.67,16.67,44.9,44.02,45.58,75.0
