ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,1.44,32.56,3.88,26.67,19.42,59.59,80.77
25770,5.28,44.19,18.95,45.36,41.02,33.03,62.5
18164,10.91,34.92,17.65,41.86,39.61,35.83,69.88
20604,19.76,51.24,31.43,53.52,52.11,23.43,51.43
11567,12.97,38.71,16.54,37.04,38.99,37.58,69.7
13645,20.94,52.53,28.85,49.06,45.88,20.41,51.85
11657,14.15,56.52,29.82,51.72,49.1,34.33,55.17
6956,3.37,34.21,6.98,31.82,24.1,35.91,75.0
20093,18.55,55.56,27.38,51.76,46.15,29.7,52.87
19063,8.15,41.9,13.56,38.33,33.46,39.46,67.8
14259,10.76,46.75,22.73,53.33,46.82,22.98,46.67
15726,5.06,46.26,19.46,43.85,40.36,34.46,68.82
16225,9.3,44.21,20.2,43.56,42.8,32.03,75.56
15181,21.92,55.86,31.34,55.88,51.78,28.94,49.28
13389,14.87,38.96,23.81,41.86,46.02,47.42,88.89
6292,15.93,45.78,23.26,47.73,43.27,32.76,56.82
14261,16.44,50.0,24.06,51.85,45.98,25.66,55.88
12813,6.15,47.5,22.68,48.48,45.0,20.5,55.1
21399,25.3,56.47,30.77,55.91,54.26,24.03,50.0
21314,19.86,45.54,25.56,50.37,44.14,29.97,54.93
18702,29.14,62.61,36.52,61.54,58.91,18.83,40.68
22448,25.92,53.01,29.55,51.11,49.01,22.46,53.33
19701,12.64,48.19,18.0,45.1,38.24,21.38,61.54
4918,3.15,42.03,15.69,42.58,34.14,31.41,59.26
23775,24.49,61.33,33.77,60.76,56.13,19.23,41.46
2700,13.93,47.92,20.75,48.15,43.53,27.63,59.26
11581,1.57,36.56,8.4,31.4,24.01,40.88,71.88
11618,1.92,39.47,9.09,35.56,27.49,32.46,80.95
15065,21.06,37.84,24.72,43.96,40.66,26.36,64.44
19824,12.55,60.47,28.87,54.55,50.64,26.83,53.85
5795,5.64,47.89,20.69,49.44,44.26,28.22,58.14
5369,11.36,46.51,22.68,46.46,46.55,30.48,71.11
22432,29.28,53.21,34.65,54.26,50.22,24.19,46.97
20861,46.9,70.13,51.16,72.73,71.62,19.74,31.82
13724,27.34,59.77,38.3,60.42,58.28,19.26,41.67
10720,7.19,51.55,29.13,51.43,47.47,31.16,50.0
20293,27.53,56.79,34.34,57.43,56.3,24.05,46.0
5210,22.86,56.79,27.18,59.05,51.44,24.66,48.08
12621,22.57,50.0,26.09,48.94,44.74,25.31,53.06
15064,41.88,72.97,52.63,71.68,71.27,10.49,31.4
11882,16.69,53.19,22.68,52.53,44.17,29.76,57.14
24172,34.27,63.41,42.62,62.9,66.92,17.73,51.79
4827,16.78,56.25,30.48,54.21,50.63,23.84,47.27
18246,14.69,47.83,23.86,48.31,45.85,34.24,60.47
14049,10.86,48.42,21.36,45.71,39.85,34.3,60.78
13814,19.05,53.66,32.94,55.17,51.75,21.32,51.11
11010,32.08,66.67,45.65,63.83,62.97,17.5,38.3
7390,34.85,59.52,41.86,56.82,54.89,19.66,46.67
6846,16.74,51.47,23.12,49.14,46.42,24.79,55.17
17771,10.41,42.55,21.36,47.62,43.11,37.45,54.72
7001,19.66,54.32,29.89,56.18,51.68,23.65,47.83
23211,26.58,60.76,37.11,58.59,56.92,25.78,48.0
17534,21.09,45.33,26.37,47.31,44.62,19.5,64.44
11748,9.45,55.47,20.81,52.57,47.82,23.62,51.14
6080,40.73,72.22,52.5,73.17,70.8,11.72,28.57
22321,25.01,62.07,29.33,51.95,49.07,10.55,48.72
12126,39.79,65.26,46.43,64.91,64.06,12.78,38.6
11055,11.56,48.94,23.01,43.48,41.95,27.16,66.07
26456,26.46,60.61,38.62,62.59,60.05,14.15,39.19
21112,10.11,46.32,18.35,41.44,37.43,32.35,66.07
8217,35.54,65.96,43.86,62.07,58.98,21.75,40.0
23497,5.9,50.63,17.5,51.22,43.63,16.54,51.22
16577,31.55,60.87,35.86,59.86,59.24,21.48,47.95
25506,42.09,70.09,46.15,67.59,65.53,10.3,33.78
5319,4.72,38.1,11.88,44.66,35.37,36.93,57.69
19098,25.46,55.32,36.73,56.0,55.61,28.4,48.98
19963,34.66,61.54,40.0,59.83,58.12,26.21,43.33
24048,9.72,51.43,20.51,48.74,43.54,20.54,55.0
17168,43.67,73.95,54.17,73.97,72.93,15.9,31.51
16942,17.08,48.32,24.39,46.99,46.34,30.58,69.33
4839,32.91,69.39,41.6,61.42,57.46,16.3,41.79
11254,46.92,71.26,56.57,73.27,71.97,15.69,27.45
7424,36.03,68.15,43.93,67.43,62.58,13.15,35.87
18838,31.18,60.0,37.27,58.9,54.18,17.98,46.07
14748,10.46,51.16,19.47,43.48,35.91,26.38,61.54
13954,3.5,30.59,12.9,31.58,29.93,42.04,84.09
3174,17.17,50.91,23.88,44.12,46.61,32.09,86.21
21972,20.96,48.82,26.42,48.45,45.8,27.94,60.26
17546,8.03,37.25,14.88,35.77,29.47,36.25,71.67
13269,14.26,46.91,20.41,50.0,45.94,26.18,56.0
11643,12.2,50.0,24.49,46.0,46.49,30.45,66.67
15636,15.56,51.61,19.88,47.4,42.57,22.94,55.06
4968,34.81,54.74,41.9,57.94,60.4,31.62,54.0
20602,3.95,49.23,17.58,45.65,43.61,36.76,69.41
6585,15.64,48.54,23.21,43.86,40.66,33.83,63.79
24028,5.78,46.75,17.5,43.9,43.93,50.0,75.68
21456,11.5,46.58,23.53,39.08,39.81,38.93,72.09
17474,1.56,33.71,7.34,30.63,28.3,35.06,95.83
14287,29.76,63.87,32.65,60.4,60.32,21.5,48.61
17420,34.28,60.42,37.5,61.22,59.27,21.01,42.86
26382,20.03,59.7,27.27,57.14,52.67,27.37,55.56
13788,6.2,53.01,20.83,51.02,45.51,24.07,53.06
12578,33.0,63.41,40.0,59.79,58.65,25.68,45.83
15948,34.22,64.0,42.53,61.36,60.23,18.43,42.05
1238,17.08,53.33,24.1,49.41,46.3,22.12,57.14
12727,3.65,45.16,12.61,37.17,37.86,30.15,95.74
21511,16.03,50.67,22.45,46.0,50.87,27.23,92.5
19839,20.99,54.74,25.86,50.85,49.0,20.06,56.14
17277,4.38,41.56,14.58,40.82,38.34,47.35,79.55
19037,15.78,42.42,23.68,43.59,41.32,31.58,58.97
