Metric,Mean,Std,Min,Max,Median
BLEU,4.44,6.35,0.35,34.49,1.98
ROUGE-1,25.42,9.54,9.64,61.07,24.15
ROUGE-2,7.32,6.59,0.0,32.58,5.91
ROUGE-L,24.99,10.79,8.0,60.99,23.47
METEOR,19.18,11.27,3.88,59.87,17.31
CER,40.91,8.34,21.05,64.12,40.48
WER,77.58,10.72,41.07,96.55,79.62
