Metric,Mean,Std,Min,Max,Median
BLEU,8.04,8.97,0.38,46.92,3.88
ROUGE-1,33.72,12.99,5.19,73.95,31.9
ROUGE-2,12.92,10.55,0.0,56.57,10.14
ROUGE-L,33.02,13.06,2.15,73.97,31.37
METEOR,28.45,14.01,2.0,72.93,25.94
CER,36.99,9.79,10.3,76.25,37.03
WER,72.82,15.65,27.45,157.14,73.44
