Metric,Mean,Std,Min,Max,Median
BLEU,17.41,12.62,0.35,65.75,15.12
ROUGE-1,47.99,12.68,5.33,85.0,48.12
ROUGE-2,24.42,12.89,0.0,69.09,22.84
ROUGE-L,47.36,13.29,4.72,85.71,46.7
METEOR,43.42,14.34,3.58,85.52,42.44
CER,26.26,9.3,9.09,108.83,25.0
WER,58.51,16.96,14.29,138.1,57.35
