Metric,Mean,Std,Min,Max,Median
BLEU,15.41,11.27,0.34,61.81,13.5
ROUGE-1,45.9,11.54,2.7,80.0,45.74
ROUGE-2,22.2,11.4,0.0,65.42,20.37
ROUGE-L,45.07,12.26,2.15,80.73,44.34
METEOR,40.55,13.77,0.98,79.8,39.44
CER,26.54,8.68,4.58,102.47,25.9
WER,59.04,13.34,20.0,131.48,59.62
