ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,2.49,22.73,5.31,20.87,17.59,50.18,84.21
25770,6.26,46.51,20.62,46.46,41.27,29.96,56.86
18164,13.89,44.6,20.11,48.17,39.9,20.42,57.69
20604,18.59,54.26,28.95,51.95,45.73,18.83,50.62
11567,21.15,52.53,27.97,51.03,47.66,27.19,52.0
13645,3.8,45.54,15.09,42.59,33.01,24.57,58.93
11657,13.35,43.75,15.75,44.96,38.11,24.49,59.15
6956,2.93,33.77,6.59,30.11,21.51,26.99,72.0
20093,15.95,50.65,25.0,47.31,39.7,22.22,57.43
19063,7.55,35.85,15.75,38.76,31.53,29.41,64.29
14259,3.49,35.0,10.64,37.5,28.99,25.77,64.71
15726,23.52,55.84,29.0,54.46,49.83,16.67,49.53
16225,9.4,52.34,22.95,46.77,39.77,22.82,57.35
15181,20.94,50.85,28.17,52.78,48.65,22.87,51.32
13389,15.4,45.65,28.04,47.71,41.97,18.25,56.67
6292,1.61,31.82,6.19,32.32,22.39,32.56,71.7
14261,4.02,39.29,18.06,36.99,30.78,25.4,66.25
12813,24.38,47.62,27.45,46.15,43.16,22.42,57.41
21399,10.3,47.31,19.23,41.51,35.97,26.28,63.16
21314,16.08,50.94,23.7,42.34,37.86,24.48,59.72
18702,9.3,47.06,17.32,44.96,37.49,19.88,57.97
22448,12.0,48.84,23.4,47.92,42.39,22.41,54.9
19701,15.42,47.73,22.43,44.04,37.29,19.72,57.89
4918,3.37,39.72,13.33,35.93,27.28,27.49,67.74
23775,5.14,43.59,19.51,42.86,36.41,29.05,60.87
2700,8.97,42.99,11.48,38.71,29.54,27.08,64.71
11581,6.1,33.33,12.9,28.57,24.49,39.18,73.91
11618,10.56,44.71,20.0,41.18,35.96,36.33,61.82
15065,15.4,39.47,22.22,47.83,43.95,20.69,54.35
19824,28.54,59.77,35.09,58.62,51.24,24.48,45.0
5795,3.43,43.24,8.89,39.13,26.43,32.81,65.31
5369,8.27,44.68,14.29,43.86,32.41,27.08,59.02
22432,20.92,47.86,28.57,52.35,46.24,34.38,50.0
20861,9.11,34.57,17.2,33.68,29.45,28.69,70.0
13724,10.95,41.38,16.0,37.25,31.65,21.21,65.45
10720,24.77,56.52,33.01,53.33,50.09,29.33,50.0
20293,24.66,61.18,33.96,61.11,56.89,16.01,43.1
5210,3.89,42.5,13.46,41.51,36.09,26.22,62.26
12621,13.42,47.5,19.57,48.94,41.99,26.5,59.18
15064,10.91,49.68,21.62,45.99,39.78,23.37,57.0
11882,25.86,60.19,36.04,58.41,53.23,18.32,45.9
24172,36.26,58.14,31.65,62.41,60.4,17.43,42.47
4827,10.84,42.55,22.43,40.37,37.11,27.27,63.16
18246,18.68,51.39,28.12,51.55,45.61,23.03,51.96
14049,5.57,50.0,17.65,46.15,41.14,26.04,54.72
13814,5.59,46.34,22.22,45.65,38.98,24.32,58.82
11010,26.12,60.47,34.29,57.94,50.38,12.98,48.33
7390,13.02,43.18,22.45,38.0,32.9,17.95,66.67
6846,15.25,55.17,26.04,50.52,45.29,22.27,52.94
17771,22.1,58.06,32.69,60.38,55.59,17.71,41.82
7001,36.85,62.65,46.6,68.57,67.82,22.13,36.54
23211,18.61,45.57,22.43,51.38,46.18,30.87,57.69
17534,32.73,64.2,41.18,63.46,59.22,15.97,38.89
11748,25.55,62.77,36.57,61.02,56.34,16.67,42.22
6080,16.12,47.22,21.43,46.51,36.5,18.55,56.52
22321,1.95,38.1,10.0,29.27,23.55,39.38,72.73
12126,20.31,54.17,28.07,50.0,45.18,23.08,50.85
11055,4.95,44.0,16.95,40.0,37.67,28.29,71.19
26456,4.99,49.62,21.94,47.13,40.16,21.56,56.47
21112,19.02,53.76,29.63,52.73,51.03,24.39,51.79
8217,11.51,55.91,20.47,48.06,39.22,15.23,57.53
23497,12.75,41.38,17.2,40.0,32.56,22.37,66.67
16577,23.97,60.69,33.33,57.32,51.26,19.76,47.19
25506,13.84,54.7,27.5,49.38,42.54,13.07,56.04
5319,14.09,44.71,23.53,46.15,41.6,28.91,55.56
