ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,3.05,31.33,7.92,27.18,22.06,53.88,76.92
25770,5.19,46.51,19.42,43.81,42.79,30.73,72.92
18164,14.28,39.68,22.49,46.78,45.8,32.29,62.65
20604,6.53,35.2,10.96,32.43,30.63,31.23,78.57
11567,2.34,27.37,4.08,26.85,26.25,45.65,98.48
13645,7.09,28.87,11.65,30.48,26.16,33.67,70.37
11657,8.24,34.78,13.91,35.9,29.56,36.67,72.41
6956,3.48,28.95,9.3,27.27,23.23,39.55,77.27
20093,3.0,30.34,10.59,27.91,20.79,36.97,74.71
19063,2.53,32.38,5.08,28.33,20.7,45.15,79.66
14259,1.54,23.08,4.44,26.09,18.87,45.53,77.78
15726,9.0,41.89,15.87,38.74,35.52,37.1,72.04
16225,6.99,29.79,14.14,29.7,27.72,38.67,91.11
15181,19.87,55.56,25.37,54.41,49.87,27.79,50.72
13389,11.14,28.95,16.87,32.94,35.19,44.6,97.22
6292,7.44,30.59,9.09,31.11,27.24,46.12,72.73
14261,4.62,33.64,11.76,36.23,31.85,31.49,70.59
12813,3.36,33.73,10.0,35.29,29.57,35.61,73.47
21399,7.51,37.65,8.79,36.56,28.63,30.23,69.57
21314,3.69,30.19,11.59,25.71,21.66,40.62,77.46
18702,9.3,43.1,16.81,39.67,37.61,27.78,66.1
22448,6.56,25.0,6.9,24.72,19.79,33.05,75.56
19701,16.99,50.6,24.0,49.02,44.02,22.46,57.69
4918,1.02,28.57,2.55,27.67,17.02,45.09,75.31
23775,13.86,36.36,20.0,34.15,32.8,39.42,70.73
2700,2.52,31.68,5.26,31.03,23.34,37.17,85.19
11581,2.45,27.96,6.72,23.14,18.09,40.25,78.12
11618,1.18,23.38,2.25,19.78,11.71,47.37,97.62
15065,2.67,21.62,4.49,21.98,14.09,36.05,84.44
19824,5.49,47.73,18.56,42.42,35.95,37.63,63.46
5795,5.15,38.89,16.28,40.91,35.49,27.39,65.12
5369,1.88,40.48,6.67,36.96,28.3,30.86,68.89
22432,19.82,47.37,27.54,48.57,47.72,28.61,63.64
20861,1.54,25.97,4.6,22.47,16.87,37.77,81.82
13724,22.92,45.98,29.79,47.92,45.95,27.04,54.17
10720,13.48,48.98,19.23,43.4,41.45,33.9,59.26
20293,17.82,46.34,21.78,44.66,40.57,32.82,60.0
5210,1.31,26.83,3.81,22.43,16.31,47.26,86.54
12621,9.73,39.08,16.67,38.78,35.01,29.05,63.27
15064,7.29,42.18,16.37,41.62,34.81,27.98,63.95
11882,7.49,33.68,12.12,33.66,28.42,40.48,73.47
24172,13.58,41.46,21.67,45.9,44.54,22.41,71.43
4827,4.08,38.71,11.65,36.19,29.28,34.52,65.45
18246,9.77,32.84,11.56,29.71,28.03,38.1,75.58
14049,2.42,28.26,3.85,26.42,18.66,38.63,82.35
13814,1.66,19.28,7.06,18.39,17.15,43.02,86.67
11010,19.92,56.1,30.11,52.63,50.82,26.25,53.19
7390,27.79,45.24,32.18,42.7,41.65,27.8,57.78
6846,3.16,37.96,11.56,30.86,27.88,31.67,74.71
17771,6.43,42.11,23.08,47.17,43.85,33.45,56.6
7001,4.08,36.59,13.64,40.0,33.48,29.05,65.22
23211,14.44,40.51,14.58,40.82,35.82,36.44,64.0
17534,10.88,36.36,14.89,29.17,29.34,31.12,82.22
11748,8.54,39.13,16.18,36.57,34.5,33.33,68.18
6080,12.83,53.52,27.5,53.66,48.36,20.08,50.0
22321,16.45,45.61,27.03,52.63,49.9,23.63,48.72
12126,5.46,23.4,5.45,25.0,18.67,37.38,77.19
11055,1.39,18.95,5.66,20.37,15.98,34.03,82.14
26456,4.19,43.94,13.61,40.27,34.49,24.46,62.16
21112,3.46,32.97,11.11,32.73,28.58,36.93,69.64
8217,30.12,49.46,33.04,44.44,42.65,25.96,56.67
23497,1.39,27.16,2.44,26.19,16.67,33.46,80.49
16577,12.09,41.73,16.11,38.41,35.48,29.92,68.49
25506,23.32,59.32,32.17,53.79,50.73,12.81,48.65
5319,1.5,13.95,3.88,22.86,18.17,51.45,82.69
19098,4.16,29.79,12.24,30.0,27.2,43.6,77.55
19963,9.26,40.78,15.79,39.66,33.11,38.62,61.67
24048,1.67,34.95,8.7,30.77,24.47,35.65,71.67
17168,18.75,53.78,27.4,52.7,50.2,27.71,54.79
16942,1.04,22.97,5.81,24.14,19.94,37.5,104.0
4839,11.0,32.65,14.52,26.98,24.34,27.9,74.63
11254,1.53,20.69,6.06,21.78,17.45,35.04,78.43
7424,2.22,26.28,6.78,29.05,19.15,33.57,72.83
18838,16.85,45.0,19.51,44.58,40.1,24.78,58.43
14748,25.15,43.68,22.05,52.71,50.92,26.38,47.69
13954,2.44,21.95,6.25,16.33,17.04,53.06,104.55
3174,2.54,24.53,5.31,24.35,18.32,38.24,81.03
21972,11.7,38.71,16.56,38.99,35.09,30.88,67.95
17546,2.18,25.24,3.33,24.59,16.81,42.72,83.33
13269,3.89,36.59,10.31,40.4,34.42,36.0,64.0
11643,4.27,36.56,12.24,34.0,31.68,35.71,79.17
15636,11.64,44.8,16.37,45.09,36.59,26.47,58.43
4968,9.13,37.5,19.05,41.12,39.87,36.77,72.0
20602,9.84,51.52,20.0,45.83,48.52,39.08,76.47
6585,1.09,20.95,3.28,17.74,14.5,44.51,94.83
24028,1.47,28.57,4.82,23.53,20.96,58.25,105.41
21456,1.32,31.58,2.27,26.67,18.17,46.56,88.37
17474,6.2,29.55,9.62,28.3,26.08,42.44,89.58
14287,7.84,39.64,11.35,40.56,36.41,39.64,66.67
17420,19.75,46.81,25.26,47.42,44.46,28.4,57.14
26382,6.74,29.85,9.09,25.0,22.32,40.88,83.33
13788,2.9,24.69,6.25,24.49,19.32,40.0,81.63
12578,28.17,58.54,33.68,53.61,51.4,30.63,52.08
15948,17.23,43.71,20.45,42.7,40.77,31.68,60.23
1238,1.54,23.38,4.71,22.99,15.02,45.58,88.1
12727,1.08,17.39,3.74,16.51,12.04,38.24,112.77
21511,6.68,41.56,14.0,37.25,39.35,35.71,107.5
19839,12.64,35.79,17.86,38.6,36.18,25.87,63.16
17277,1.63,23.68,6.45,29.47,23.72,55.31,88.64
19037,4.5,23.19,12.82,25.0,23.92,42.11,82.05
25048,1.04,20.93,2.02,17.82,12.24,48.72,95.74
25490,3.18,24.69,8.42,26.8,20.88,38.55,79.17
7150,3.3,25.97,10.64,25.0,22.9,31.32,78.72
24801,1.31,28.21,3.81,22.43,15.59,40.2,80.0
13026,10.04,42.11,19.8,42.72,38.61,26.44,58.82
13005,0.72,13.16,0.0,15.19,7.52,38.57,95.0
23596,1.18,25.69,3.28,22.58,17.85,52.62,94.92
17290,20.83,46.58,25.64,47.5,44.09,23.56,56.1
3232,0.61,12.35,0.0,12.9,6.4,39.46,87.23
11620,4.73,30.14,7.65,24.86,21.0,45.34,80.65
13168,9.03,40.0,15.62,41.54,36.35,28.93,60.0
6198,3.91,34.15,13.08,31.19,28.43,40.33,80.39
2301,6.34,32.73,10.0,29.51,25.47,39.68,81.67
24210,5.24,40.0,17.09,36.97,33.75,30.71,65.0
2204,3.67,41.1,11.63,38.64,32.35,22.78,77.5
4392,2.71,30.4,7.46,30.88,24.05,35.17,70.59
2083,1.11,15.79,2.3,13.48,9.33,36.96,89.13
6546,16.59,43.01,18.18,41.58,37.41,23.94,60.78
19174,3.26,25.86,8.82,30.43,27.19,39.76,83.08
2636,10.71,39.64,15.38,35.86,31.86,41.86,69.44
18153,4.32,34.71,13.92,36.25,32.28,33.72,67.9
19472,6.95,40.31,14.55,38.32,34.81,36.47,70.0
16370,3.97,41.51,13.74,40.6,30.16,33.05,66.15
15523,1.04,15.58,2.27,13.33,10.2,46.98,104.88
17506,4.06,42.02,13.95,39.69,34.36,29.6,61.54
19753,5.77,29.68,11.24,28.89,27.22,36.17,79.07
26207,11.95,41.67,16.98,37.04,34.05,27.46,69.23
21482,2.85,21.67,10.6,24.84,24.34,44.77,95.65
21514,8.93,39.08,17.58,36.56,34.14,35.8,67.39
15271,10.66,27.08,15.13,29.75,26.53,39.43,78.33
13369,8.56,39.39,15.63,40.21,33.16,30.17,62.38
8368,11.76,27.5,14.12,29.89,27.81,38.82,74.42
22348,3.76,34.38,10.26,27.5,23.96,35.68,75.0
11058,1.52,18.67,5.0,19.51,16.02,40.18,89.74
25563,2.49,32.38,6.06,29.85,21.69,40.59,72.46
24972,20.84,48.1,26.67,52.17,48.08,26.83,48.94
25900,1.14,21.19,5.92,19.88,14.4,37.75,87.06
25309,13.64,47.06,25.64,47.5,44.98,20.27,52.5
16614,3.37,30.56,7.23,32.94,25.68,34.7,73.17
5529,1.32,26.32,2.25,26.37,13.07,46.06,76.09
4136,37.21,50.0,27.27,61.19,60.95,27.6,40.91
23951,9.69,40.88,14.01,40.25,35.09,31.08,64.1
17064,2.45,31.67,7.19,26.95,20.3,41.0,75.68
14790,25.8,64.62,34.64,62.98,60.93,19.75,40.66
14786,3.99,35.44,13.19,38.71,33.26,35.61,69.57
20071,6.27,25.69,7.14,28.17,23.34,33.09,71.83
24422,12.2,30.77,14.75,38.71,34.42,37.67,61.9
312,6.25,33.87,9.45,34.11,28.07,36.34,69.84
22363,17.7,52.17,26.14,51.61,49.1,22.05,50.65
21218,0.81,18.6,2.38,16.47,11.96,45.97,97.47
24350,9.51,40.51,17.98,43.96,39.56,31.43,57.78
16787,10.83,34.29,19.05,39.53,36.6,35.29,65.12
21162,3.1,26.83,7.06,25.29,21.0,44.81,80.95
15737,14.15,34.15,17.02,35.42,32.35,37.18,68.09
19687,8.18,29.63,12.35,28.92,25.8,41.6,73.81
24794,1.15,25.93,3.12,21.54,14.76,35.71,81.54
26176,1.07,22.95,2.13,16.67,10.56,36.02,84.31
24677,0.6,14.29,0.0,14.74,7.69,52.08,100.0
17538,4.38,25.64,11.76,27.59,25.08,44.93,74.42
25850,15.81,38.81,17.07,38.1,34.71,37.37,61.9
12221,14.17,42.86,20.62,40.4,36.41,27.4,61.54
3235,0.56,14.43,0.0,14.81,7.3,44.09,85.45
5844,39.91,55.12,34.52,57.65,57.18,23.06,44.05
15002,22.06,41.3,27.18,41.9,39.59,25.38,63.46
4733,1.01,20.59,1.98,17.48,12.19,49.09,102.13
10777,15.06,35.62,17.28,36.59,34.14,31.84,69.14
11922,8.18,40.96,12.77,39.58,30.35,27.61,63.83
24836,1.36,24.32,2.38,23.26,14.78,41.95,79.07
18782,1.85,30.38,8.6,31.58,26.01,42.75,76.09
7645,11.13,24.24,11.76,25.71,22.98,42.98,75.0
20563,1.74,29.73,6.9,24.72,20.15,40.09,77.27
781,6.08,38.89,9.52,32.81,25.05,30.21,77.05
23720,7.21,38.4,10.26,36.71,30.84,31.64,65.43
16126,6.03,38.46,11.11,36.59,32.88,34.23,83.78
18626,3.65,40.6,11.9,35.29,30.35,36.42,66.67
2496,3.5,32.26,7.14,33.33,25.49,39.24,71.43
15679,8.21,34.78,14.81,32.73,29.08,36.39,68.42
23169,1.61,25.35,4.88,23.81,18.06,51.34,87.8
12930,4.02,25.81,12.12,25.74,22.92,31.94,76.0
17149,2.42,32.56,6.61,27.64,26.38,45.66,109.8
18272,1.5,28.24,4.21,26.8,18.84,33.33,77.08
20698,1.29,20.0,2.35,22.99,14.22,37.85,80.0
5557,16.06,36.21,19.85,37.59,36.17,32.38,66.15
5636,7.56,28.4,10.7,26.46,22.2,34.26,76.84
5468,9.19,36.36,13.33,36.96,32.52,33.2,66.67
2961,6.85,31.08,12.77,28.42,24.87,35.14,75.79
25344,1.26,23.38,2.25,21.98,13.85,41.18,82.61
11560,0.42,5.26,0.0,2.15,2.0,74.71,98.04
11283,14.23,54.79,26.51,51.76,48.08,26.73,53.49
1598,3.42,34.21,8.6,33.68,26.36,34.78,70.83
11733,5.12,25.48,7.91,22.35,19.19,40.0,83.33
12619,12.52,34.88,16.49,34.34,32.05,27.5,69.39
11485,2.98,28.28,9.01,26.55,22.78,38.67,78.57
19096,21.6,46.75,27.5,46.34,45.5,35.68,57.5
4028,4.74,34.15,13.64,33.33,29.73,39.44,71.11
20399,1.28,22.22,3.88,20.95,13.6,38.85,88.0
15682,2.37,22.02,5.13,23.53,18.44,44.06,85.96
26089,6.63,29.75,11.11,28.77,23.53,39.3,76.71
3047,2.89,33.73,5.94,29.13,21.5,37.41,71.15
24311,6.52,33.08,12.66,30.0,26.6,41.7,75.95
21942,10.92,43.68,13.73,42.31,35.6,31.64,61.54
16096,9.6,36.78,16.67,36.73,33.59,37.33,65.31
13932,1.92,24.32,9.52,25.58,22.71,33.19,80.95
24891,2.13,27.4,12.35,26.51,24.59,32.17,75.61
17134,1.79,21.94,3.45,22.73,15.61,38.88,78.65
15355,1.45,14.93,5.19,15.19,13.63,51.22,97.3
23748,1.7,27.03,6.59,25.81,20.54,31.68,78.26
2113,1.24,26.19,2.17,21.28,14.37,34.62,81.25
6803,1.53,17.39,4.65,20.45,15.64,41.05,84.09
7819,10.69,26.23,11.51,26.95,22.76,39.21,77.14
5832,0.34,7.48,0.0,5.84,3.16,55.01,114.52
24853,3.03,21.95,6.82,24.44,19.4,43.08,76.09
8082,9.31,34.78,13.33,33.58,26.34,37.64,67.14
24093,11.22,39.53,15.38,36.56,35.59,32.93,80.95
20960,1.94,20.92,5.49,21.74,17.3,38.8,83.52
14825,2.61,36.89,4.88,35.2,22.12,30.17,69.35
17987,4.78,33.33,15.56,34.78,32.25,25.36,68.89
1577,3.24,24.74,8.85,20.87,18.41,38.68,79.66
16821,9.34,35.51,13.89,35.62,33.29,33.17,76.47
18244,6.13,28.33,9.52,26.56,23.96,39.19,78.12
26311,19.86,35.96,21.82,37.5,36.99,28.85,65.45
7267,9.23,44.94,16.82,40.37,36.47,33.78,61.11
11833,5.57,36.14,9.9,33.33,27.26,38.86,67.96
25908,7.28,25.64,11.11,26.09,23.1,42.59,76.6
16444,2.75,32.59,9.52,30.87,26.63,38.03,72.97
20409,9.35,38.1,15.05,35.79,32.42,35.07,65.96
4593,2.36,30.77,11.59,30.99,26.69,24.03,69.44
4309,1.42,22.86,2.6,25.32,16.59,45.1,84.21
7324,3.08,40.38,7.46,36.76,27.83,26.26,80.65
23788,1.78,23.08,7.23,23.53,19.68,44.07,85.71
13493,2.44,39.66,7.87,37.78,27.82,35.64,63.04
16360,1.82,34.48,12.24,30.0,29.09,40.53,91.11
24946,6.73,33.33,7.92,34.95,27.37,30.93,72.0
26292,5.37,36.14,14.12,34.48,31.04,30.0,67.44
18851,14.04,41.74,16.33,36.24,32.96,31.03,64.0
13784,1.36,24.0,3.81,24.3,17.07,45.24,79.25
25546,1.47,27.72,5.26,27.59,20.19,40.07,74.14
17133,3.32,37.21,9.71,32.38,26.89,41.73,71.15
20872,1.69,28.95,5.06,27.16,20.32,40.43,79.49
15466,3.89,39.02,13.51,41.33,36.12,30.65,64.86
6718,12.45,30.77,19.72,30.56,31.21,38.08,80.88
19156,17.37,43.3,22.86,44.86,42.37,27.66,56.6
5485,10.36,42.99,21.31,43.55,41.59,30.84,61.67
7759,8.0,28.95,12.35,26.51,24.59,37.27,75.61
4302,2.67,36.78,6.72,36.36,28.48,24.26,80.0
7141,4.25,28.57,10.0,26.83,23.84,45.49,77.5
20081,19.17,34.55,23.08,37.88,37.91,37.7,67.19
17662,32.96,67.11,40.41,61.54,60.81,16.38,39.18
12736,1.24,20.25,3.81,22.43,17.09,41.46,93.88
23007,5.43,32.88,14.63,30.95,28.54,42.86,73.81
14999,2.39,30.0,7.04,27.78,20.14,39.19,85.29
11815,1.14,21.98,1.98,21.36,13.44,40.36,82.35
4614,0.75,13.56,0.0,17.95,9.16,49.06,92.11
20392,1.37,25.0,5.31,22.61,17.84,59.68,83.93
23095,0.9,17.05,3.97,13.07,10.77,48.21,88.1
24746,1.06,13.95,2.22,13.04,9.6,59.25,97.73
20587,1.2,18.56,3.42,18.49,14.43,49.69,88.14
14947,16.93,31.33,15.91,31.11,29.17,40.0,73.33
6159,3.92,29.89,12.12,27.72,28.05,42.11,87.23
7969,1.15,24.72,3.2,22.05,15.4,41.72,85.48
8206,35.18,70.13,41.24,64.65,63.85,21.34,38.78
2364,0.5,20.18,0.0,16.18,8.82,44.05,88.24
3463,11.26,38.96,17.28,40.96,35.76,31.6,60.47
2690,1.14,19.64,3.2,20.47,12.5,44.74,84.13
2101,15.79,33.33,17.95,32.5,30.9,33.48,67.5
24136,12.99,40.0,17.78,41.3,36.66,32.68,59.57
291,13.1,34.15,16.09,33.71,32.62,27.1,78.57
7821,11.53,32.26,15.71,29.58,28.73,40.88,72.22
17443,3.49,29.51,10.26,27.85,21.87,40.47,76.62
11457,7.55,37.24,13.04,35.48,30.65,32.79,65.96
10729,12.55,40.0,20.69,40.45,38.97,28.57,65.12
24167,12.64,44.86,16.36,44.64,38.79,26.93,55.36
15062,11.06,33.71,17.65,34.62,32.45,38.99,67.31
25870,1.04,26.09,3.08,22.73,14.74,35.08,101.69
19893,3.32,30.38,7.32,28.57,22.98,39.91,78.05
5025,5.55,26.67,6.0,23.53,17.55,42.01,87.5
13232,10.27,25.0,12.05,25.88,24.01,48.91,78.57
20099,2.81,30.4,7.89,29.87,25.42,38.69,84.51
13163,22.45,41.51,29.51,45.16,43.57,30.16,55.56
24503,2.93,29.55,8.85,24.35,17.72,34.68,80.7
5268,5.69,27.59,8.06,26.98,22.82,39.01,78.69
18159,4.66,31.17,13.64,31.11,28.21,40.26,68.89
23029,29.82,53.66,35.56,52.17,49.43,24.0,48.94
13053,2.5,25.95,10.98,26.51,24.48,36.03,81.25
16139,8.13,27.78,13.79,29.21,26.69,32.0,73.33
5320,2.67,28.04,6.72,26.45,20.73,36.96,75.41
13463,3.91,33.66,12.84,30.63,27.47,37.33,77.36
14788,6.52,35.05,10.0,29.63,21.98,31.51,75.0
5201,9.62,45.45,17.98,46.15,38.08,22.51,60.0
1508,14.16,37.7,19.28,35.71,32.96,32.79,67.82
18138,2.22,20.93,3.74,16.51,9.11,48.38,87.27
20539,2.43,26.42,5.97,25.0,20.01,38.89,78.26
17817,14.39,36.14,16.09,35.96,29.32,29.63,65.22
13701,7.71,36.52,10.14,31.43,27.39,36.61,76.12
12570,1.06,24.44,1.85,18.18,12.67,41.91,90.74
25429,6.56,26.37,10.1,23.76,21.93,38.05,83.67
6309,3.03,26.87,7.23,23.53,20.46,38.28,87.5
2365,1.38,21.95,4.12,20.2,12.94,32.31,81.63
25994,1.41,17.58,5.66,18.52,15.34,42.23,85.19
26027,9.64,34.38,14.47,32.47,28.46,30.1,68.35
18213,1.29,20.78,2.33,20.45,13.27,43.17,79.55
17058,10.82,36.54,13.08,36.7,31.89,32.37,64.81
8121,5.48,22.22,8.7,20.86,18.01,48.02,82.72
14055,1.8,28.24,5.61,29.36,24.4,35.19,77.78
7874,9.19,36.36,14.81,38.55,34.18,37.22,65.85
7647,4.25,38.71,10.64,35.42,31.49,36.43,73.91
22126,2.17,34.29,12.99,30.38,28.82,38.97,83.78
16209,17.34,45.07,22.78,44.44,40.58,27.73,61.54
12824,16.84,50.0,24.14,47.46,44.41,21.88,56.9
14762,21.13,54.21,29.57,54.7,52.24,19.38,46.55
23793,6.72,23.38,6.74,20.0,17.42,47.36,81.52
26321,12.61,42.31,16.67,41.82,37.1,32.22,58.18
11532,3.78,39.22,16.07,40.35,36.31,30.63,64.29
21158,0.55,11.11,0.0,12.37,5.85,50.53,88.46
21834,10.04,42.2,17.32,44.96,40.86,28.07,57.81
17983,3.48,29.21,10.64,31.25,25.51,37.23,72.34
24074,20.18,47.76,23.66,48.42,45.39,26.15,56.25
21197,13.78,36.73,14.08,37.5,35.5,32.88,67.12
15576,5.75,34.33,9.21,29.87,25.42,35.77,84.51
18688,12.25,39.18,18.18,47.15,42.68,26.52,55.74
6616,4.82,39.02,12.2,38.1,30.64,28.69,65.85
13978,9.02,31.43,9.84,33.51,30.63,31.09,69.23
25430,11.62,40.54,21.33,38.96,37.37,33.49,65.79
19676,1.45,24.49,6.72,23.14,19.05,40.86,80.0
21849,1.76,32.61,6.45,29.47,23.3,40.86,72.92
6716,1.38,19.35,5.08,20.0,16.59,42.7,82.26
4799,3.76,33.85,12.2,30.95,28.43,37.96,77.5
23675,1.23,25.45,4.44,24.82,18.21,38.11,79.1
1471,9.7,40.58,14.46,37.65,34.01,41.03,70.73
6811,4.16,37.17,13.07,34.84,30.03,34.1,67.09
17039,14.01,29.33,10.75,42.11,38.93,27.39,59.57
25172,10.25,29.63,13.73,28.85,24.96,41.97,72.22
5853,30.9,56.47,34.0,56.86,56.62,19.78,48.98
8126,2.12,21.98,3.54,17.39,14.19,48.81,87.5
7360,9.7,37.38,17.6,37.8,34.78,28.96,64.62
4124,4.02,40.0,13.79,37.29,28.94,38.08,64.52
6661,3.67,23.19,10.13,27.16,23.43,43.33,75.61
15003,1.09,17.98,3.51,17.24,13.78,49.06,100.0
16803,1.18,18.18,2.08,20.41,12.97,37.89,83.67
14117,6.14,43.9,17.39,40.43,36.5,33.73,61.7
25513,0.58,16.47,0.0,16.67,9.09,50.2,104.65
18861,1.27,17.72,2.44,16.67,11.42,43.3,85.71
13901,8.45,39.74,11.83,36.17,29.81,24.07,63.83
16788,11.57,38.2,23.91,40.43,39.59,36.8,65.22
15673,1.16,11.11,2.67,10.39,8.46,49.55,97.3
17077,0.81,17.54,1.44,14.18,9.07,47.45,90.0
23317,1.09,13.33,2.3,13.48,10.03,44.49,100.0
6288,11.21,39.68,18.57,42.25,37.98,19.53,59.72
11329,15.59,43.48,23.08,45.0,42.19,30.65,55.0
14920,13.31,40.54,17.5,36.59,33.16,28.57,64.29
20119,1.38,26.0,5.13,23.53,19.14,40.65,81.03
17312,10.02,30.77,16.47,34.48,31.85,30.7,66.67
6064,3.71,32.1,9.64,32.94,27.19,35.71,71.43
16807,3.03,26.8,9.09,26.79,24.28,39.51,78.18
20337,4.33,38.1,16.26,40.0,35.45,31.23,60.32
15931,8.11,44.44,17.89,48.0,42.72,23.44,55.74
20711,2.61,23.26,4.35,21.28,15.83,40.14,80.85
580,0.87,19.8,1.5,17.78,10.74,42.89,84.06
12195,31.41,50.75,33.77,48.1,46.87,29.79,55.0
1770,1.18,24.74,3.42,20.17,14.63,41.98,87.93
21547,10.02,37.25,9.84,30.65,26.39,36.97,71.43
12246,13.96,38.1,20.0,39.13,36.06,36.2,63.83
21736,10.91,39.18,16.22,35.4,33.16,30.0,69.09
17306,7.42,37.84,10.94,38.46,31.67,27.54,64.06
12783,3.67,27.03,10.26,25.0,22.3,33.62,75.0
21867,1.56,26.51,7.62,22.43,18.69,31.23,78.18
23012,1.23,18.52,6.56,16.13,15.17,51.98,98.28
3421,0.66,12.66,0.0,11.9,5.95,44.02,90.48
5873,10.78,37.7,14.46,32.14,29.64,33.33,85.53
24065,21.08,47.06,26.97,50.55,48.21,26.14,51.11
2921,1.11,21.95,2.02,17.82,11.66,36.49,86.0
13710,8.12,29.51,15.38,30.3,28.76,44.32,72.31
15767,9.15,43.33,12.99,35.9,30.29,32.44,73.33
15941,1.14,21.28,1.98,21.36,13.23,52.94,84.62
3854,5.07,35.62,13.16,33.33,27.8,35.68,74.36
19068,2.15,29.79,6.17,26.83,19.86,41.98,74.42
17994,3.75,35.79,11.38,36.8,31.62,35.92,70.0
5449,2.65,24.49,7.27,22.75,19.2,40.08,80.72
15574,1.93,37.04,7.06,34.48,25.89,38.03,69.77
15923,30.58,50.75,26.09,57.45,57.36,30.13,45.65
13976,9.65,32.7,11.63,31.03,25.86,39.96,72.09
10631,8.9,35.0,14.81,33.73,30.3,37.71,69.05
16667,4.86,30.0,13.08,34.86,29.5,30.56,68.52
2775,13.35,39.06,16.77,35.67,32.11,36.87,65.43
12845,20.17,45.83,25.23,49.56,43.7,24.75,52.63
22278,3.94,31.82,10.91,33.93,28.91,41.38,72.73
11850,12.97,38.71,19.21,40.22,38.22,38.87,64.77
13467,1.21,18.37,3.67,18.02,13.7,48.47,90.74
20566,12.2,37.89,17.89,40.0,38.42,36.5,71.67
2252,3.59,35.05,12.0,35.29,30.54,31.14,70.0
4940,1.63,41.86,11.18,39.26,31.53,28.16,60.98
2857,0.58,17.39,0.0,16.51,8.2,38.29,85.45
1199,17.21,46.15,28.89,52.17,48.81,24.46,48.94
4582,1.75,24.16,3.49,21.84,15.75,45.33,86.9
6990,4.3,35.05,15.38,35.29,36.43,27.86,88.46
24277,1.38,24.53,5.04,26.45,19.75,43.31,83.05
15914,10.7,37.21,13.04,36.17,31.81,41.04,67.39
25842,4.47,36.17,12.12,37.62,32.55,37.45,68.63
2491,2.47,25.64,6.11,25.56,19.73,38.06,79.1
23823,0.99,21.82,1.31,23.23,15.19,43.35,79.01
11701,11.78,43.59,23.81,44.19,41.84,19.05,55.81
4375,5.21,40.86,16.0,39.22,35.54,30.4,66.0
6345,6.02,41.46,20.22,41.76,38.04,35.43,60.0
6932,2.59,29.13,6.78,23.33,19.11,38.44,86.21
16480,10.66,45.93,16.67,41.77,37.89,30.48,62.34
20897,1.08,10.13,2.41,9.41,7.36,50.37,93.02
13550,4.56,36.36,15.84,36.89,34.11,36.36,68.0
16383,3.3,34.72,11.18,35.58,29.32,35.62,65.06
13050,10.24,35.04,13.95,33.33,29.71,34.0,68.89
26007,1.65,25.32,4.88,26.19,16.05,35.34,74.42
16469,2.82,24.74,7.34,25.23,20.48,33.55,76.79
3830,13.7,32.1,20.45,31.11,30.4,39.29,73.33
16336,0.73,16.0,0.0,17.07,8.54,47.23,82.93
17451,2.18,17.78,3.96,15.53,12.55,50.75,96.0
4303,13.21,38.89,16.44,40.0,36.06,31.88,64.86
19580,1.03,19.05,1.82,17.86,11.35,48.86,87.5
15425,1.27,24.76,3.51,24.14,16.77,39.66,78.95
16234,18.02,53.33,28.57,49.46,47.57,20.74,51.06
16496,3.01,27.91,6.25,28.57,17.13,45.19,75.51
16050,14.55,53.73,29.63,48.19,45.56,33.0,52.38
20204,2.78,22.43,7.75,21.37,19.87,37.88,95.0
22083,2.32,23.81,4.04,21.78,16.75,37.07,93.62
5818,1.98,22.92,4.88,19.2,17.0,39.02,109.26
15874,9.17,37.62,10.62,34.78,29.02,34.8,68.42
19335,6.65,35.71,10.53,34.07,29.94,33.83,79.37
24186,3.78,37.04,11.36,33.33,30.32,37.8,70.45
12786,1.37,19.18,4.26,18.75,14.58,40.6,85.11
16384,2.25,18.02,6.15,21.21,19.42,42.02,93.44
7441,8.92,31.71,13.19,32.26,25.68,34.13,68.09
20737,5.96,28.81,11.84,31.17,26.83,36.68,73.68
24935,1.27,28.57,4.55,26.87,18.65,32.49,73.91
12487,9.03,37.21,14.2,36.26,32.85,31.93,68.67
7378,20.02,45.71,22.75,43.79,41.5,30.71,61.18
3563,0.57,20.93,0.0,17.31,8.27,48.47,83.64
12715,15.7,41.54,20.65,40.76,38.81,26.0,62.34
20372,12.49,35.29,15.56,36.96,33.2,29.89,65.22
17680,24.75,45.33,26.51,51.76,50.05,28.19,51.16
26189,10.48,41.25,19.57,37.63,35.18,29.92,65.96
10591,3.78,22.78,8.42,26.8,22.54,48.03,79.17
16565,1.5,29.89,4.26,27.08,19.2,26.74,76.6
24248,1.35,22.99,4.26,20.83,16.32,39.45,93.33
8162,1.32,16.0,4.76,16.28,14.68,49.36,107.89
11695,2.45,24.0,7.58,22.39,18.41,27.14,87.69
1563,4.11,24.16,4.6,23.86,17.69,42.95,85.06
21751,3.53,30.93,8.7,29.06,23.79,37.89,72.88
24846,4.43,27.16,13.08,27.52,25.25,33.1,72.73
12408,8.58,36.89,17.74,39.68,35.74,33.71,62.5
