Metric,Mean,Std,Min,Max,Median
BLEU,7.32,7.05,0.34,39.91,4.36
ROUGE-1,32.6,10.13,5.26,70.13,32.22
ROUGE-2,12.12,8.01,0.0,41.24,11.11
ROUGE-L,31.92,10.4,2.15,64.65,30.97
METEOR,27.6,11.32,2.0,63.85,26.86
CER,36.43,7.79,12.81,74.71,36.67
WER,73.89,13.1,38.78,118.06,74.03
