Metric,Mean,Std,Min,Max,Median
BLEU,21.58,17.42,0.32,93.97,16.13
ROUGE-1,49.78,16.66,6.84,95.24,50.0
ROUGE-2,27.64,17.6,0.0,81.82,24.94
ROUGE-L,49.39,17.99,4.44,96.63,48.56
METEOR,46.77,19.09,3.53,96.62,46.89
CER,26.9,10.25,1.82,107.77,25.84
WER,59.65,24.53,3.37,146.3,60.12
