Metric,Mean,Std,Min,Max,Median
BLEU,16.39,11.07,0.35,55.4,15.25
ROUGE-1,47.77,11.28,2.63,78.91,47.88
ROUGE-2,23.72,11.32,0.0,62.96,22.99
ROUGE-L,46.88,11.61,2.11,79.78,46.86
METEOR,42.32,12.59,0.98,78.25,42.41
CER,26.03,9.02,9.5,110.6,24.92
WER,57.98,14.27,21.43,140.48,57.14
