Metric,Mean,Std,Min,Max,Median
BLEU,15.97,11.33,0.35,64.01,14.27
ROUGE-1,47.38,11.23,2.67,78.38,47.52
ROUGE-2,23.35,11.45,0.0,68.09,22.46
ROUGE-L,46.55,11.63,2.13,83.33,46.35
METEOR,42.01,12.63,0.98,83.11,41.62
CER,26.19,8.97,7.72,109.19,24.86
WER,58.34,14.27,18.75,140.48,57.45
