ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
5205,0.64,17.39,0.0,16.28,8.79,37.45,102.56
6202,13.09,37.36,19.61,38.46,36.97,39.75,75.51
3815,5.2,28.99,7.1,29.24,22.71,36.03,81.48
5113,12.31,43.9,24.39,43.2,43.04,32.93,86.79
25379,8.34,36.89,14.75,38.71,33.98,44.33,64.52
13223,17.17,48.35,24.07,50.91,49.16,24.72,56.6
13924,8.16,39.74,13.76,38.74,34.17,29.96,67.74
2011,14.5,44.94,25.74,48.54,49.31,33.08,65.96
16188,11.92,37.59,11.7,40.0,36.81,35.99,68.13
25483,9.31,41.76,15.87,40.62,37.28,26.6,72.88
12363,7.04,31.17,9.41,27.59,24.63,40.28,82.93
10665,10.18,32.79,14.01,32.7,30.76,28.13,88.73
11481,11.02,41.56,13.33,36.96,34.34,20.0,78.57
5998,0.32,6.84,0.0,4.44,3.53,107.77,146.3
5180,1.04,23.4,1.92,22.64,15.06,31.92,95.83
12726,10.07,45.54,18.64,45.0,43.82,29.79,72.22
10523,15.22,48.28,24.05,46.25,43.47,28.86,64.1
24268,2.29,29.21,5.22,25.64,20.94,31.49,96.15
12465,25.92,49.46,32.43,51.33,49.49,22.68,54.55
16363,6.35,31.33,9.35,34.86,28.59,31.02,83.67
11195,5.42,40.0,10.6,31.37,28.84,38.36,86.96
11189,9.4,38.03,10.64,27.37,23.03,44.31,77.42
7285,16.95,48.98,22.22,46.88,41.81,28.8,57.81
6878,1.11,25.71,5.95,24.71,18.31,34.78,97.4
24896,1.63,31.71,6.9,29.21,25.04,31.09,97.44
6998,1.24,16.47,4.08,18.0,14.71,49.62,97.83
7057,36.37,70.89,45.03,66.32,64.34,20.08,36.84
4962,34.89,64.1,37.5,64.91,63.15,20.0,40.35
12051,52.82,75.25,59.5,76.42,76.43,13.76,26.23
18788,1.0,18.02,4.14,16.33,13.7,38.89,100.0
23711,3.15,44.16,14.63,40.58,37.65,20.2,74.74
22104,5.89,29.2,7.66,27.49,22.78,29.24,85.71
7598,6.71,50.0,25.97,50.63,51.09,17.84,63.89
14781,10.47,47.52,17.19,41.54,40.73,28.1,77.59
14381,9.67,37.65,17.78,36.96,35.45,30.97,70.45
13248,16.25,48.94,23.42,46.02,46.73,20.75,67.31
1212,4.01,42.86,16.49,40.4,38.97,25.61,70.21
4604,9.54,43.86,14.49,38.57,34.96,26.74,70.15
4048,10.12,41.18,13.95,32.06,31.77,32.51,103.7
15830,2.93,25.0,6.06,25.74,24.0,35.36,89.36
12092,4.67,37.78,14.29,38.6,36.67,23.59,75.47
4308,3.19,40.35,6.94,36.99,26.98,34.67,67.12
21902,10.32,43.24,17.78,39.13,37.74,33.6,72.09
7179,48.01,74.32,55.72,76.85,75.56,13.74,23.53
7638,7.81,38.2,15.69,36.54,33.48,36.75,73.47
7250,7.37,39.02,14.77,33.11,34.62,34.54,92.42
6013,29.98,54.21,28.97,61.22,59.51,22.32,41.67
17296,1.53,25.58,6.19,24.24,19.93,42.27,89.36
8152,8.43,50.0,16.3,43.8,38.3,25.54,68.75
8296,0.55,12.5,0.0,9.41,5.14,45.56,113.16
23722,1.27,32.14,6.99,23.45,21.29,47.76,93.94
551,3.3,35.0,10.42,36.73,32.47,25.99,81.82
22516,7.91,25.58,8.0,18.9,17.81,37.34,93.33
23993,9.22,39.02,16.33,48.0,41.48,28.81,54.9
11962,2.19,17.2,5.36,17.54,15.3,54.04,107.84
17284,10.32,52.94,21.74,50.0,45.64,24.87,55.88
16909,0.75,18.75,0.0,18.42,9.62,48.28,91.67
15635,17.01,55.56,23.53,44.23,51.05,40.5,97.56
13515,1.51,37.89,8.4,31.4,27.49,33.45,88.89
24636,11.58,33.73,15.05,31.58,29.43,39.25,70.21
7044,8.22,30.77,10.85,29.01,27.18,36.34,86.67
18862,8.49,39.6,15.38,35.29,31.79,24.41,80.0
20516,3.17,29.41,7.14,27.91,22.87,45.07,80.49
6606,4.87,26.89,8.33,21.92,19.42,34.35,92.65
8124,2.93,35.16,9.92,30.89,25.35,34.63,81.03
1830,4.45,35.48,8.79,38.71,35.09,29.1,74.42
12731,10.53,39.22,17.54,37.93,34.28,25.5,79.25
14022,19.04,48.39,27.03,42.11,42.12,20.0,66.67
17641,23.54,54.42,31.63,54.55,54.65,23.25,53.19
12330,7.23,25.97,8.08,31.68,28.96,32.47,77.08
25642,17.99,51.03,21.98,45.65,44.21,26.42,65.12
7875,1.5,31.58,4.55,28.89,21.68,37.96,87.8
18083,8.22,40.0,12.63,41.24,32.62,43.04,70.21
16443,18.26,48.78,25.74,48.54,49.97,18.58,65.96
1739,1.54,22.54,4.94,24.1,16.42,38.5,92.11
11409,19.96,54.55,26.13,53.57,49.88,19.81,46.43
5344,8.13,37.25,15.87,37.5,36.52,23.51,79.31
14188,10.97,43.48,22.45,40.0,40.79,29.3,73.91
13995,4.31,42.86,17.2,46.32,41.39,34.09,58.7
17047,28.58,55.56,31.48,58.18,54.39,23.68,42.86
7588,16.7,52.17,23.42,51.33,51.03,18.32,61.54
12934,7.23,38.2,10.53,31.03,28.7,33.33,80.0
6610,10.32,43.56,16.3,39.42,40.53,28.15,86.44
20376,3.55,32.32,8.62,32.2,28.6,26.44,80.0
18708,10.6,37.97,13.64,33.33,30.83,34.13,74.42
4829,7.08,37.21,15.29,32.56,33.83,30.86,94.59
19347,1.6,27.85,6.32,24.74,20.02,47.37,89.36
17567,15.76,46.88,21.47,39.11,38.32,27.91,75.29
8290,7.82,42.42,14.57,37.91,34.86,26.48,77.14
14742,6.69,29.89,8.33,30.61,25.41,31.15,78.72
19835,2.2,17.5,4.3,14.74,12.81,38.65,100.0
20973,16.18,46.51,23.53,50.0,48.33,24.53,59.18
23508,2.86,31.78,8.13,30.4,24.48,28.53,77.42
22995,4.29,43.64,14.81,39.42,36.96,19.38,69.23
2718,1.16,22.22,5.93,20.44,18.32,27.88,101.64
7482,25.92,56.52,33.93,54.39,55.95,19.54,56.6
11923,1.27,20.0,3.96,17.48,13.68,37.04,88.0
24906,3.51,36.96,12.84,34.23,29.71,34.6,67.86
19870,3.9,40.54,11.24,39.56,35.25,24.22,69.77
19958,26.12,50.51,32.21,59.6,58.93,18.91,43.24
21651,1.16,18.42,2.41,16.47,12.08,40.08,100.0
20446,5.86,30.93,10.0,27.87,25.78,29.18,87.5
4807,1.29,35.16,5.36,28.07,25.01,40.39,110.64
11927,28.79,61.9,32.69,62.26,59.89,17.79,37.74
20483,8.86,37.62,12.6,31.01,28.33,34.83,83.33
2460,9.31,40.0,15.38,39.13,34.03,26.36,63.04
16583,1.11,19.75,2.15,18.95,13.06,49.6,95.45
14996,6.81,29.21,9.62,32.08,29.51,26.21,81.63
19705,0.7,16.44,0.0,17.28,9.09,39.81,94.74
22556,14.67,40.54,18.18,40.0,38.63,26.76,71.43
6830,7.8,32.12,11.36,29.21,26.77,35.17,80.0
8059,11.32,34.19,12.86,29.58,27.76,33.24,77.94
1334,5.98,31.68,8.85,26.09,24.5,35.36,87.04
21276,5.46,31.15,8.96,32.51,26.1,31.88,81.91
13428,8.46,40.62,10.39,35.44,28.69,29.31,67.5
3450,7.51,31.46,11.11,32.73,29.15,39.73,78.85
16065,15.57,54.24,23.96,52.58,49.5,20.25,50.0
21463,2.69,30.87,8.24,26.74,22.01,32.1,83.95
19967,15.36,45.16,26.09,47.85,46.18,24.69,56.25
20665,12.7,45.78,17.78,41.3,38.64,36.0,65.91
6888,3.36,40.91,13.33,37.38,35.14,27.37,81.25
6520,11.33,36.5,19.16,39.05,38.85,21.82,73.42
11257,24.9,57.14,34.78,58.57,58.49,22.02,47.76
6586,12.68,39.22,18.31,47.22,43.38,24.48,61.43
24997,1.07,29.79,3.17,23.44,17.32,36.74,98.25
6293,18.19,54.29,25.81,50.53,50.21,20.69,57.78
2703,10.42,34.01,13.56,31.28,30.12,30.0,83.13
4193,2.82,30.43,8.08,27.72,24.84,35.12,93.33
15569,12.08,35.0,15.38,30.11,27.78,30.97,86.05
26001,14.36,38.64,18.0,45.1,39.46,32.58,62.0
