ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
352,1.75,32.18,9.35,31.19,25.86,38.25,70.18
25770,18.9,55.81,26.8,56.57,50.98,24.47,49.02
18164,10.81,46.04,16.75,45.6,35.42,24.66,58.65
20604,4.3,40.65,16.33,40.27,32.86,24.94,64.2
11567,24.29,51.55,28.95,49.35,48.24,29.06,56.0
13645,1.4,32.32,3.74,31.19,20.04,34.81,71.43
11657,12.54,43.3,18.75,44.62,39.21,20.99,60.56
6956,2.89,31.17,6.52,27.66,20.33,30.97,74.0
20093,17.31,54.55,29.03,48.94,43.19,21.11,55.45
19063,1.37,31.78,6.15,30.3,20.03,26.18,71.43
14259,3.42,27.85,12.9,29.47,25.24,33.46,72.55
15726,15.8,45.16,20.1,44.78,38.47,24.14,58.88
16225,13.68,45.28,21.49,43.9,37.66,23.49,60.29
15181,20.22,46.96,24.11,50.35,44.94,20.48,53.95
13389,8.72,30.59,14.14,31.68,25.09,25.55,73.33
6292,3.3,34.09,10.2,34.0,26.74,39.92,69.81
14261,2.39,33.03,8.51,32.17,23.44,25.93,71.25
12813,7.31,37.65,11.54,33.96,28.5,39.5,68.52
21399,8.97,40.0,11.76,32.69,24.58,31.02,71.93
21314,10.5,34.86,16.3,33.58,29.97,23.96,68.06
18702,17.77,45.38,23.08,43.94,40.01,23.15,59.42
22448,1.67,35.71,6.45,31.58,23.28,31.12,70.59
19701,16.57,48.84,22.43,45.87,39.47,19.72,56.14
4918,14.12,46.9,21.18,41.86,36.84,23.9,61.29
23775,15.92,45.0,21.43,44.19,38.8,27.62,58.7
2700,9.66,40.0,14.17,37.21,31.31,30.15,69.12
11581,1.32,29.47,6.5,25.6,19.5,37.3,76.81
11618,10.35,34.48,13.73,32.69,27.02,37.55,69.09
15065,4.5,26.32,11.11,34.78,29.13,26.05,67.39
19824,16.85,41.38,19.3,44.83,36.39,33.92,58.33
5795,3.97,45.33,12.77,41.67,33.52,36.72,63.27
5369,7.59,43.01,15.24,37.38,25.01,25.27,67.21
22432,3.99,39.32,12.95,39.72,31.03,34.38,63.16
20861,4.33,35.0,15.05,29.47,24.53,25.1,74.0
13724,7.78,36.36,11.88,33.01,27.07,25.76,69.09
10720,4.11,35.79,11.54,33.96,28.5,31.45,70.37
20293,13.48,42.35,18.69,47.71,41.02,33.45,55.17
5210,1.51,27.85,5.83,22.86,17.9,48.25,81.13
12621,5.68,42.86,16.67,44.9,39.11,23.5,65.31
15064,15.17,49.68,22.46,45.5,40.41,23.37,57.0
11882,2.89,30.61,11.21,29.36,23.53,45.04,75.41
24172,34.42,57.47,28.99,61.43,58.69,19.08,43.84
4827,14.3,40.43,18.18,39.29,35.59,34.91,64.91
18246,7.06,35.21,10.53,27.08,21.51,29.9,75.49
14049,1.12,26.53,1.87,25.69,15.75,37.85,84.91
