ID,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,CER,WER
21197,3.4,34.34,11.68,31.65,26.51,26.37,72.6
15576,18.15,45.45,22.64,45.96,41.76,23.39,58.02
18688,23.96,41.67,25.6,48.82,45.2,28.48,52.31
6616,3.89,40.48,9.64,40.0,29.1,33.61,61.9
13978,11.64,39.72,13.04,41.94,38.7,24.44,60.87
25430,17.36,53.16,29.55,55.56,50.68,28.96,48.89
19676,15.14,57.41,20.44,50.36,40.21,21.47,53.95
21849,26.82,63.64,37.89,59.79,55.86,18.78,43.14
6716,25.37,54.17,30.89,51.2,49.17,28.11,53.97
4799,19.67,55.56,32.97,58.06,51.71,19.11,46.0
23675,50.16,75.21,56.58,76.62,75.34,13.8,25.97
1471,64.01,78.38,68.09,83.33,83.11,7.72,18.75
6811,23.07,55.93,31.25,53.09,49.89,19.87,48.81
17039,26.64,60.0,38.83,59.05,52.07,27.4,54.17
25172,13.04,53.16,19.42,47.62,40.45,24.16,57.14
5853,14.89,48.98,26.45,43.9,38.22,26.73,60.29
8126,10.97,48.28,20.95,46.73,40.91,26.85,60.38
7360,13.84,45.87,18.18,44.78,37.69,25.66,62.5
4124,23.28,62.63,34.71,56.91,50.11,13.86,48.48
6661,4.08,42.11,13.79,40.45,27.99,31.51,63.04
15003,26.16,61.05,30.77,58.82,52.96,15.72,44.44
16803,12.7,46.15,20.2,45.54,38.87,22.82,60.38
14117,33.83,58.14,43.56,60.19,59.36,29.06,46.0
25513,52.94,67.39,57.41,70.91,66.46,23.91,32.14
18861,3.62,32.1,9.52,30.23,27.13,28.51,76.19
13901,27.41,55.26,38.5,60.32,58.34,17.66,41.05
16788,15.98,40.0,20.41,40.0,37.5,36.82,68.0
15673,4.57,37.33,15.58,40.51,35.93,34.19,64.1
17077,3.33,33.61,10.96,33.78,27.58,31.55,70.13
23317,13.26,41.67,11.63,43.18,37.62,25.0,58.7
6288,15.09,42.37,21.9,48.92,45.55,20.52,56.52
11329,1.87,30.14,9.2,26.97,23.61,28.51,81.4
14920,11.36,33.33,20.25,34.57,34.22,25.94,71.79
20119,46.86,64.0,50.42,67.77,65.39,15.09,33.87
17312,3.27,37.04,10.53,32.99,29.84,25.65,84.09
6064,5.23,43.68,17.98,43.96,40.27,24.79,61.36
16807,5.5,45.36,18.69,45.87,40.62,23.49,56.36
20337,18.09,45.45,24.39,46.4,43.91,26.45,61.67
15931,5.03,38.83,17.24,42.37,37.29,27.48,60.0
20711,12.46,51.06,25.24,49.52,46.08,18.4,54.72
580,35.17,62.26,41.43,63.38,58.71,18.87,40.0
12195,20.02,55.38,26.67,51.95,47.13,13.62,51.22
1770,17.28,49.54,23.08,48.48,44.91,25.25,55.22
21547,15.91,50.47,25.6,44.09,42.28,29.97,57.58
12246,43.89,65.12,43.81,67.29,62.81,23.4,35.85
21736,25.3,58.82,32.76,55.93,52.1,16.31,46.77
17306,27.87,59.13,36.5,58.99,54.71,18.41,45.95
12783,24.41,64.0,40.48,60.47,52.76,15.58,44.68
21867,6.69,45.98,28.3,51.85,46.5,23.78,51.72
23012,18.64,58.41,29.03,55.56,49.84,16.94,49.25
3421,22.47,59.26,32.26,56.84,53.01,19.12,46.94
5873,45.66,72.58,54.24,72.63,71.26,14.32,30.68
24065,30.22,65.91,40.82,62.0,56.12,12.73,43.64
2921,19.28,49.38,29.47,53.61,50.68,21.98,50.0
13710,22.28,55.28,33.82,53.62,50.42,25.07,50.0
15767,11.8,58.73,23.6,49.08,43.2,22.52,54.02
15941,4.4,45.54,14.55,42.86,35.49,35.0,60.34
3854,16.6,48.72,22.78,46.91,38.35,19.74,56.82
19068,23.31,55.78,32.95,53.93,48.35,20.75,51.02
17994,4.86,44.9,20.0,46.97,40.93,21.33,56.34
5449,23.86,49.32,28.07,47.4,45.5,34.8,62.07
15574,19.34,62.22,30.93,56.57,50.86,22.92,47.17
15923,28.83,65.75,32.65,62.0,65.44,20.6,55.56
13976,17.4,44.03,20.54,40.64,35.8,30.93,62.38
10631,23.29,58.54,31.82,55.56,49.03,16.94,47.92
16667,26.27,50.0,29.31,52.54,49.02,22.76,50.0
2775,41.46,71.43,46.41,69.95,71.1,18.53,32.22
12845,10.01,51.55,23.73,48.33,41.15,18.09,56.72
22278,31.1,62.07,38.53,63.06,60.61,21.18,37.5
11850,30.02,63.16,40.44,59.46,56.86,20.78,44.79
13467,20.8,61.11,34.92,62.5,59.36,20.19,38.46
20566,29.89,55.45,36.36,58.21,56.47,23.61,46.97
2252,24.68,54.55,31.37,53.85,50.18,17.61,48.15
4940,3.27,46.15,11.9,38.82,31.77,29.83,66.29
2857,18.93,55.32,25.42,55.0,49.76,16.5,50.0
1199,26.53,58.23,42.11,61.86,57.4,16.74,42.31
4582,30.69,56.77,39.11,58.56,55.25,22.07,45.16
6990,19.53,57.14,31.93,51.24,46.38,17.71,54.55
24277,12.42,44.23,21.24,43.48,37.55,25.38,60.32
15914,19.05,59.77,32.0,56.86,51.1,22.61,47.27
25842,16.44,47.42,22.86,50.47,44.48,22.31,51.79
2491,21.07,59.13,31.58,51.85,48.8,20.59,51.39
23823,9.71,40.0,20.78,43.59,37.36,30.79,60.49
11701,3.87,37.04,11.49,35.96,29.84,31.93,66.67
4375,16.13,44.44,21.36,45.71,40.44,24.63,57.69
6345,4.19,43.37,13.64,44.44,34.46,23.33,56.52
6932,10.62,48.54,21.05,46.55,42.56,26.45,53.45
16480,33.42,63.64,43.31,64.15,62.65,18.64,37.5
20897,1.75,34.57,4.88,30.95,19.62,30.08,69.77
13550,3.04,30.77,6.0,31.37,24.02,34.16,70.59
16383,9.3,43.66,19.51,43.37,38.7,25.05,58.33
13050,3.69,38.81,11.98,35.5,30.39,24.44,67.86
26007,2.71,25.64,6.74,19.78,19.77,49.15,100.0
16469,4.67,42.11,16.51,45.05,38.31,21.75,56.14
3830,21.75,46.91,28.89,50.0,47.13,24.8,51.06
16336,8.9,32.0,14.81,33.73,27.32,28.21,66.67
17451,6.45,26.97,8.25,26.26,21.39,42.97,78.43
4303,5.44,42.11,15.58,40.51,33.58,29.22,65.0
19580,9.22,49.44,18.49,39.67,39.52,29.61,70.18
15425,7.87,37.04,12.4,33.59,29.81,36.57,75.0
16234,26.56,58.97,37.36,53.76,49.56,22.22,46.81
16496,20.47,61.18,34.04,60.42,55.83,25.1,42.0
16050,7.93,43.48,13.91,30.77,33.85,46.9,140.48
20204,16.09,40.65,18.98,37.41,34.36,29.67,64.86
22083,13.94,41.98,18.37,42.0,38.7,35.23,63.27
5818,7.59,50.0,14.52,38.1,38.84,31.01,82.14
15874,11.91,43.56,19.47,43.48,38.85,30.54,57.63
19335,10.75,41.44,12.03,37.04,32.34,38.61,75.0
24186,5.04,38.55,15.56,34.78,34.67,46.06,69.57
12786,3.17,32.88,8.6,29.47,23.13,28.69,72.0
16384,15.76,45.9,24.16,47.68,46.91,19.9,64.29
7441,17.7,47.62,22.22,45.65,43.12,32.52,60.0
20737,36.07,65.55,43.87,64.97,63.61,19.58,35.9
24935,9.63,42.37,15.62,43.08,37.35,30.33,61.54
12487,29.73,58.21,31.4,59.77,55.52,17.67,42.05
7378,21.19,47.14,27.37,50.0,50.18,21.97,62.92
3563,15.1,47.62,23.16,49.48,45.18,26.15,55.1
12715,12.64,51.97,23.31,47.27,41.0,20.2,56.18
20372,18.61,43.68,25.24,40.0,35.89,29.89,63.79
17680,30.07,60.87,34.21,64.1,55.08,11.76,40.48
26189,43.47,65.43,49.76,71.09,71.12,16.8,30.77
10591,3.3,25.32,8.51,31.25,24.68,42.52,71.43
16565,15.27,48.28,25.26,47.42,44.46,21.4,53.06
24248,4.82,35.96,14.14,35.64,32.88,28.08,75.0
8162,7.3,48.72,26.51,49.41,48.1,22.78,58.54
11695,12.75,39.22,16.0,42.52,36.29,17.94,60.32
1563,5.33,31.17,11.49,29.55,24.74,31.22,71.43
21751,19.08,47.62,23.62,49.61,46.44,26.72,60.66
24846,16.16,45.24,18.52,43.64,39.96,25.44,60.71
12408,28.39,57.69,36.07,58.06,58.55,21.26,41.94
24968,18.02,51.85,26.67,54.35,49.66,19.69,46.81
8066,5.65,37.84,11.49,42.7,38.35,30.2,62.79
22026,29.47,66.06,39.72,64.34,60.26,13.68,36.99
18267,16.5,47.22,23.38,45.57,39.96,30.29,55.0
14164,18.78,59.2,30.0,56.34,56.14,17.59,49.28
15826,1.89,25.4,5.71,22.22,19.12,48.02,83.33
3134,1.65,26.8,7.41,27.27,21.89,37.38,78.18
20744,34.82,58.43,37.62,60.19,59.31,18.57,41.18
16724,10.84,44.74,19.75,45.78,39.44,33.47,56.82
2811,19.19,51.16,23.66,50.53,46.91,30.89,53.19
3319,11.71,44.96,20.22,40.0,42.83,39.45,89.47
13004,29.69,59.09,36.73,62.0,59.71,14.51,38.0
17431,6.81,37.11,9.92,35.77,29.64,39.21,80.36
21261,8.32,37.14,15.05,33.68,30.95,36.22,72.34
3995,7.85,38.89,9.94,39.34,31.11,34.88,67.78
12595,16.64,49.61,19.32,48.31,42.97,25.6,55.06
12505,11.55,44.85,18.63,43.69,35.83,29.03,60.19
1961,19.97,47.52,24.11,41.96,42.39,20.28,68.66
2990,22.22,54.21,27.35,55.46,52.02,17.52,45.76
11249,4.87,43.68,13.19,43.01,35.33,38.49,61.7
6881,20.0,48.13,27.19,50.43,48.55,24.92,52.99
24951,14.12,51.35,23.33,51.65,46.6,20.39,51.11
14844,9.03,38.2,14.29,38.0,29.12,26.77,67.35
5205,1.73,28.99,5.13,27.5,20.38,32.77,79.49
6202,12.13,42.22,21.05,45.36,41.34,33.61,59.18
3815,8.96,37.04,16.46,41.25,34.79,30.72,60.49
5113,4.16,28.92,11.43,33.64,30.05,29.32,75.47
25379,8.37,39.22,14.63,41.6,36.02,45.36,64.52
13223,33.6,57.78,36.54,60.38,58.79,21.35,43.4
13924,9.39,45.75,16.22,40.64,35.01,27.53,62.37
2011,15.98,47.06,25.53,47.92,46.06,30.8,57.45
16188,2.88,31.01,9.3,32.18,24.49,34.48,71.43
25483,27.95,49.46,31.3,54.7,50.93,24.24,47.46
12363,3.64,35.14,9.76,28.57,26.32,37.04,75.61
10665,21.76,45.38,25.71,46.48,42.71,27.62,56.34
11481,18.95,53.52,27.85,51.85,47.64,17.87,50.0
5998,0.37,8.4,0.0,6.25,4.46,109.19,133.33
5180,1.5,30.11,4.12,30.3,20.95,31.54,75.0
12726,10.07,46.0,18.64,45.0,43.82,28.72,72.22
10523,14.28,46.02,22.82,46.36,40.95,30.38,57.69
24268,2.96,40.91,5.71,39.25,27.51,26.3,67.31
12465,21.64,47.83,29.91,51.38,48.45,23.37,50.91
16363,23.05,46.34,26.8,50.51,48.1,27.01,51.02
11195,12.41,45.45,17.52,40.29,37.74,35.34,65.22
11189,5.31,38.85,10.06,34.25,27.52,38.21,67.74
7285,4.7,45.36,19.35,49.21,42.07,26.21,54.69
6878,13.38,37.96,21.05,40.26,37.98,27.69,66.23
24896,5.43,50.0,24.0,49.35,45.28,25.63,56.41
6998,1.43,17.28,4.4,19.35,14.93,46.97,84.78
7057,31.16,65.41,38.74,61.14,59.02,20.7,43.16
4962,22.67,54.55,27.78,56.36,51.01,20.0,50.88
12051,13.03,46.81,24.07,45.45,39.49,19.8,59.02
18788,3.15,23.85,9.09,23.88,20.72,34.39,76.47
23711,33.53,67.1,40.84,64.25,63.6,16.86,37.89
22104,6.17,37.96,11.34,38.78,30.16,26.32,62.24
7598,20.92,48.28,28.99,50.7,47.94,16.18,52.78
14781,25.04,55.45,30.51,55.0,54.35,23.53,50.0
14381,34.64,57.14,42.86,58.14,56.45,24.34,43.18
13248,31.42,63.74,36.0,62.75,59.71,16.6,38.46
1212,11.54,49.41,24.74,46.46,47.37,21.14,63.83
4604,14.8,47.71,21.54,45.45,41.5,25.67,55.22
4048,17.87,46.94,23.08,43.4,40.41,25.44,57.41
15830,3.5,25.0,8.6,29.47,25.78,33.46,76.6
12092,5.27,47.83,16.36,48.21,45.3,20.42,62.26
4308,3.37,42.11,8.39,38.62,29.09,38.67,65.75
21902,13.4,49.32,23.53,48.28,45.22,28.74,53.49
7179,46.49,73.1,55.56,76.0,73.47,12.98,25.49
7638,9.6,48.89,18.75,48.98,43.0,32.16,51.02
7250,11.92,45.53,20.14,42.55,41.44,30.15,69.7
6013,9.89,42.72,15.27,40.6,35.07,26.49,63.89
17296,9.05,35.71,13.64,35.56,30.14,39.18,68.09
8152,26.48,59.46,32.0,56.69,52.2,21.85,45.31
8296,1.42,22.58,2.67,20.78,13.96,41.13,84.21
23722,11.98,37.74,16.92,37.88,33.78,41.79,69.7
551,29.67,48.1,34.48,53.93,52.99,20.26,47.73
22516,11.46,34.88,10.08,29.75,25.51,31.65,73.33
23993,9.7,45.24,19.15,41.67,36.38,30.08,62.75
11962,2.82,24.18,7.62,24.3,18.62,51.47,88.24
17284,10.62,54.9,23.19,51.43,48.41,23.26,54.41
16909,0.87,22.22,0.0,22.54,11.14,46.31,77.78
15635,8.76,50.0,17.65,40.38,45.12,40.0,102.44
13515,5.36,48.42,16.82,42.2,37.59,28.42,59.26
24636,12.03,38.55,15.56,34.78,31.15,36.98,65.96
7044,14.6,38.26,18.8,38.66,34.07,32.13,61.67
18862,12.8,42.0,22.03,40.0,35.24,24.07,74.55
20516,4.26,41.79,12.66,39.51,32.76,41.78,60.98
6606,1.17,22.61,4.44,18.98,14.75,33.84,88.24
8124,11.72,40.0,18.02,42.48,36.52,33.33,60.34
