Metric,Mean,Std,Min,Max,Median
BLEU,42.18,32.98,0.4,100.0,37.74
ROUGE-1,64.69,24.34,5.33,100.0,67.6
ROUGE-2,46.8,30.76,0.0,100.0,44.28
ROUGE-L,63.89,24.97,2.06,100.0,66.66
METEOR,60.81,27.7,1.95,100.0,64.28
CER,17.27,13.17,0.0,109.89,15.8
WER,38.92,26.97,0.0,137.04,35.76
