Metric,Mean,Std,Min,Max,Median
BLEU,74.72,38.31,0.42,100.0,100.0
ROUGE-1,82.54,28.63,5.06,100.0,100.0
ROUGE-2,74.71,35.81,0.0,100.0,96.0
ROUGE-L,82.4,28.85,2.11,100.0,100.0
METEOR,81.19,30.99,1.99,100.0,100.0
CER,10.81,18.3,0.0,85.85,0.0
WER,19.19,31.6,0.0,112.5,0.0
