Metric,Mean,Std,Min,Max,Median
BLEU,7.32,8.57,0.39,55.09,3.5
ROUGE-1,32.39,12.84,3.23,73.56,30.54
ROUGE-2,11.88,9.97,0.0,62.63,9.25
ROUGE-L,31.4,12.92,2.82,77.23,29.77
METEOR,27.31,13.9,1.46,76.29,24.92
CER,37.73,9.82,10.08,77.01,38.23
WER,77.51,16.53,23.53,157.14,78.19
