Metric,Mean,Std,Min,Max,Median
BLEU,5.51,8.11,0.0,77.05,2.43
ROUGE-1,29.15,12.9,0.0,87.77,27.16
ROUGE-2,9.43,9.39,0.0,78.69,6.68
ROUGE-L,27.25,12.74,0.0,89.73,25.25
METEOR,23.86,13.84,0.0,89.95,20.54
CER,40.27,10.08,5.63,80.55,40.46
WER,88.93,17.45,11.96,184.48,90.38
