Index,CER,WER,BLEU,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-1,ROUGE-2,ROUGE-L,TER,chrF,Jaccard,Cosine_Sim,Levenshtein_Sim,Precision,Recall,F1-Score,Length_Ratio
398,42.49201277955272,77.61194029850746,2.607214208373416,25.37313432835821,13.86436852542424,6.845302648482613,2.607214208373416,20.911015854981148,0.0,0.0,0.0,77.61194029850746,39.21364653103918,14.85148514851485,22.827435497979007,8.935611038107753,25.862068965517242,25.862068965517242,25.862068965517242,100.0
399,64.04109589041096,83.9506172839506,1.9978567717645157,19.693148722914895,9.912882008710998,5.137864004107459,1.9978567717645157,15.702736318407961,0.0,0.0,0.0,83.9506172839506,29.524130800464114,8.91089108910891,32.902867692565344,7.6238881829733165,17.307692307692307,15.517241379310345,16.363636363636363,92.5925925925926
400,14.285714285714285,18.6046511627907,65.6882337750648,81.17755505374838,76.11324959821009,70.90565628065907,65.6882337750648,81.84772738135067,0.0,0.0,0.0,18.6046511627907,84.91345536235528,70.45454545454545,86.90859897135266,42.600896860986545,86.11111111111111,79.48717948717949,82.66666666666667,93.02325581395348
401,3.125,6.0,84.05207634221003,94.0,90.82389328715618,87.63019691525145,84.05207634221003,93.9710276143051,0.0,0.0,0.0,6.0,94.15246473551143,91.66666666666666,91.37931034482759,97.99635701275045,95.65217391304348,95.65217391304348,95.65217391304347,100.0
402,5.027932960893855,17.77777777777778,62.80068008491146,82.20130616218343,74.87392399202129,69.07966412726209,62.80068008491146,82.12633870251398,0.0,0.0,0.0,17.77777777777778,87.68998612468097,71.73913043478261,83.18909823506266,94.61883408071749,84.61538461538461,82.5,83.54430379746836,97.77777777777777
403,10.8,20.689655172413794,50.91436247197403,79.3103448275862,69.78490849980008,60.436701402625346,50.91436247197403,78.76808878169611,0.0,0.0,0.0,20.689655172413794,81.47161369505518,71.66666666666667,72.6095527265328,92.38249594813614,84.31372549019608,82.6923076923077,83.49514563106797,100.0
404,11.370262390670554,16.883116883116884,69.87247273584872,83.11688311688312,78.25855808712295,73.41256645428493,69.87247273584872,83.03571428571429,0.0,0.0,0.0,16.883116883116884,82.58194597878709,73.07692307692307,81.63690332301694,80.51643192488262,85.07462686567165,83.82352941176471,84.44444444444444,100.0
405,38.15789473684211,62.7906976744186,22.496969083543632,41.30434782608695,31.775176407831196,26.733657076704326,22.496969083543632,40.68119734123202,0.0,0.0,0.0,62.7906976744186,56.508925472941165,25.806451612903224,51.63798686058965,46.308724832214764,41.02564102564102,41.02564102564102,41.02564102564102,106.9767441860465
406,12.558139534883722,18.0,55.81000932557687,81.98315434286097,73.17877010147991,64.7378265616004,55.81000932557687,81.72978914402272,0.0,0.0,0.0,18.0,81.42302057029521,70.0,83.52932739179447,84.26966292134831,81.3953488372093,83.33333333333334,82.3529411764706,98.0
407,7.837837837837839,16.867469879518072,62.77903889782268,83.52941176470588,75.94410446375097,69.12300430578816,62.77903889782268,84.84823485877344,0.0,0.0,0.0,16.867469879518072,86.01991292201548,77.5,84.0022377585123,92.34135667396062,89.85507246376811,84.93150684931507,87.32394366197184,102.40963855421687
